"host_hostname","uptime"
"machine-021","5"
"machine-027","0"
"machine-008","40"
"machine-024","7"
"machine-012","3"
"machine-026","5"
"machine-032","3"
"machine-019","0"
"machine-020","3"
"machine-018","3"
"machine-010","4"
"machine-025","5"
"machine-022","0"
"machine-006","5"
"machine-014","2"
"machine-016","5"
"machine-030","3"
"machine-033","0"
"machine-031","0"
"machine-011","2"
"machine-009","1"
"machine-037","3"
"machine-038","2"
"machine-004","19"
"machine-040","2"
"machine-039","0"
"machine-034","5"
"machine-002","0"
"machine-015","9"
"machine-003","3"
"machine-001","3"
"machine-017","1"
"machine-023","7"
"machine-029","2"
"machine-007","0"
"machine-013","1"
"machine-036","18"
"machine-028","0"
"machine-005","7"